Date,Servername,WAITTYPE,WAIT_S,RESOURCE_S,SIGNAL_S,WAIT_Count,Percentage,AvgWait_s,AvgRes_S,AvgSig_S
2025-11-18,AWSDBSQ31QV,PAGEIOLATCH_SH,274653.21000,272931.32000,1721.89000,81282903.00000,1.5900000000000001,3.3999999999999998E-3,.00340,.00000
2025-11-18,AWSDBSQ31QV,QDS_ASYNC_QUEUE,261349.36000,261349.26000,.10000,462.00000,1.51,565.69129999999996,565.69100,.00020
2025-11-18,AWSDBSQ31UV,SOS_WORK_DISPATCHER,16904601.44000,16903164.41000,1437.03000,4403010.00000,93.359999999999999,3.8393000000000002,3.83900,.00030
2025-11-18,AWSDBSQ31UV,CXCONSUMER,270297.61000,245872.59000,24425.02000,199996212.00000,1.49,0.0014,.00120,.00010
2025-11-18,AWSDBSQ31UV,QDS_ASYNC_QUEUE,260285.62000,260285.45000,.17000,465.00000,1.4399999999999999,559.75400000000002,559.75370,.00040
2025-11-18,AWSDBSQ37QV,SOS_WORK_DISPATCHER,79858759.08000,79857763.97000,995.11000,5890213.00000,88.659999999999997,13.5579,13.55770,.00020
2025-11-18,AWSDBSQ37QV,CXPACKET,7588451.46000,7496221.44000,92230.02000,1087771051.00000,8.4199999999999999,7.0000000000000001E-3,.00690,.00010
2025-11-18,AWSDBSQ37UV,SOS_WORK_DISPATCHER,42071473.28000,42071338.27000,135.01000,5941940.00000,98.170000000000002,7.0804,7.08040,.00000
2025-11-18,AWSDBSQ48DV,SOS_WORK_DISPATCHER,11545847.17000,11545768.90000,78.27000,1026210.00000,99.879999999999995,11.250999999999999,11.25090,.00010
2025-11-18,AWSDBSQ48PV,SOS_WORK_DISPATCHER,85560982.54000,85560254.61000,727.93000,8675655.00000,97.519999999999996,9.8621999999999996,9.86210,.00010
2025-11-18,AWSDBSQ48QV,SOS_WORK_DISPATCHER,11102919.75000,11102817.85000,101.90000,1009718.00000,99.920000000000002,10.9961,10.99600,.00010
2025-11-18,HC1DBSQ27PV,ASYNC_NETWORK_IO,794.04000,793.93000,.11000,2477.00000,8.7899999999999991,0.3206,.32050,.00000
2025-11-18,HC1DBSQ27PV,WRITELOG,505.16000,485.86000,19.30000,590892.00000,5.5899999999999999,8.9999999999999998E-4,.00080,.00000
2025-11-18,HC1DBSQ33DV,ASYNC_NETWORK_IO,1083.29000,1081.89000,1.40000,106074.00000,19.300000000000001,1.0200000000000001E-2,.01020,.00000
2025-11-18,HC1DBSQ33DV,MSQL_DQ,584.78000,584.78000,.00000,28.00000,10.42,20.884799999999998,20.88480,.00000
2025-11-18,HC1DBSQ33DV,PREEMPTIVE_COM_QUERYINTERFACE,584.78000,584.78000,.00000,42.00000,10.42,13.9232,13.92320,.00000
2025-11-18,HC1DBSQ33DV,OLEDB,584.31000,584.31000,.00000,40.00000,10.41,14.607699999999999,14.60770,.00000
2025-11-18,HC1DBSQ33DV,WRITELOG,526.30000,512.61000,13.68000,435341.00000,9.3800000000000008,1.1999999999999999E-3,.00120,.00000
2025-11-18,HC1DBSQ33DV,BACKUPBUFFER,453.43000,448.83000,4.61000,295034.00000,8.0800000000000001,0.0015,.00150,.00000
2025-11-18,HC1DBSQ33DV,PAGEIOLATCH_SH,53.04000,51.63000,1.41000,35189.00000,0.93999999999999995,0.0015,.00150,.00000
2025-11-18,HC1DBSQ33DV,CXCONSUMER,47.69000,46.33000,1.37000,4707.00000,0.84999999999999998,0.0101,.00980,.00030
2025-11-18,HC1DBSQ33DV,ASYNC_IO_COMPLETION,446.91000,446.91000,.00000,190.00000,7.96,2.3521999999999998,2.35220,.00000
2025-11-18,HC1DBSQ33DV,BACKUPIO,416.03000,415.32000,.71000,151175.00000,7.4100000000000001,0.0028,.00270,.00000
2025-11-18,HC1DBSQ33DV,PREEMPTIVE_OS_AUTHENTICATIONOPS,164.50000,164.50000,.00000,686145.00000,2.9300000000000002,2.0000000000000001E-4,.00020,.00000
2025-11-18,HC1DBSQ33DV,MSQL_XP,85.54000,85.54000,.00000,21301.00000,1.52,4.0000000000000001E-3,.00400,.00000
2025-11-18,AWSDBSQ50DV,SOS_WORK_DISPATCHER,10634935.53000,10634796.93000,138.60000,1009555.00000,100,10.5343,10.53410,.00010
2025-11-18,AWSDBSQ50PV,SOS_WORK_DISPATCHER,91724050.74000,91723355.57000,695.16000,12788799.00000,97.959999999999994,7.1722000000000001,7.17220,.00010
2025-11-18,AWSDBSQ50QV,SOS_WORK_DISPATCHER,10413509.67000,10413460.11000,49.57000,2004530.00000,99.959999999999994,5.1950000000000003,5.19500,.00000
2025-11-18,AWSDBSQ50UV,SOS_WORK_DISPATCHER,10734102.56000,10733998.90000,103.66000,3308652.00000,99.870000000000005,3.2443,3.24420,.00000
2025-11-18,AWSDBSQ51DV,SOS_WORK_DISPATCHER,12724980.51000,12724930.29000,50.22000,1400683.00000,99.980000000000004,9.0847999999999995,9.08480,.00000
2025-11-18,AWSDBSQ51QV,SOS_WORK_DISPATCHER,14470680.53000,14470354.05000,326.48000,4922723.00000,83.680000000000007,2.9396,2.93950,.00010
2025-11-18,AWSDBSQ51QV,CXPACKET,1198755.50000,1190128.00000,8627.51000,50394287.00000,6.9299999999999997,2.3800000000000002E-2,.02360,.00020
2025-11-18,AWSDBSQ51QV,CXCONSUMER,1180625.56000,1174444.40000,6181.16000,50288467.00000,6.8300000000000001,0.0235,.02340,.00010
2025-11-18,AWSDBSQ51UV,SOS_WORK_DISPATCHER,13795657.65000,13795375.43000,282.22000,6340752.00000,91.870000000000005,2.1757,2.17570,.00000
2025-11-18,AWSDBSQ51UV,CXCONSUMER,490820.72000,487133.80000,3686.92000,24817654.00000,3.27,1.9800000000000002E-2,.01960,.00010
2025-11-18,AWSDBSQ62DV,SOS_WORK_DISPATCHER,16506543.14000,16506313.48000,229.66000,2172450.00000,98.269999999999996,7.5980999999999996,7.59800,.00010
2025-11-18,AWSDBSQ62PV,SOS_WORK_DISPATCHER,113346427.29000,113325329.16000,21098.13000,116807215.00000,96.150000000000006,0.97040000000000004,.97020,.00020
2025-11-18,AWSDBSQ62QV,SOS_WORK_DISPATCHER,29917736.57000,29915676.51000,2060.06000,29286769.00000,97.180000000000007,1.0215000000000001,1.02150,.00010
2025-11-18,AWSDBSQ62SV,SOS_WORK_DISPATCHER,14651415.13000,14651315.46000,99.67000,1629618.00000,98.439999999999998,8.9907000000000004,8.99060,.00010
2025-11-18,AWSDBSQ62UV,SOS_WORK_DISPATCHER,23572403.42000,23571671.61000,731.81000,7643179.00000,97.959999999999994,3.0840999999999998,3.08400,.00010
2025-11-18,DR1DBSQLF1PV,SOS_WORK_DISPATCHER,102752893.19000,102750841.43000,2051.76000,12555818.00000,97.969999999999999,8.1837,8.18350,.00020
2025-11-18,HC1DBSQ21PV,SOS_WORK_DISPATCHER,97282315.74000,97232376.30000,49939.44000,255400022.00000,97.890000000000001,0.38090000000000002,.38070,.00020
2025-11-18,HC1DBSQ21QV,SOS_WORK_DISPATCHER,10127551.09000,10126066.74000,1484.35000,5295358.00000,95.079999999999998,1.9125000000000001,1.91230,.00030
2025-11-18,hc1dbsq21uv,SOS_WORK_DISPATCHER,9012440.05000,9011822.13000,617.91000,1311575.00000,99.989999999999995,6.8715000000000002,6.87100,.00050
2025-11-18,HC1DBSQ23PV,WRITELOG,223.80000,197.08000,26.72000,278718.00000,28.079999999999998,8.0000000000000004E-4,.00070,.00010
2025-11-18,HC1DBSQ23PV,BACKUPIO,164.25000,164.18000,.07000,4403.00000,20.609999999999999,0.0373,.03730,.00000
2025-11-18,HC1DBSQ23PV,BACKUPTHREAD,162.95000,162.94000,.01000,243.00000,20.449999999999999,0.67059999999999997,.67050,.00000
2025-11-18,HC1DBSQ23PV,PAGEIOLATCH_SH,122.80000,120.87000,1.94000,165560.00000,15.41,6.9999999999999999E-4,.00070,.00000
2025-11-18,HC1DBSQ23PV,SOS_SCHEDULER_YIELD,36.93000,1.58000,35.35000,940481.00000,4.6299999999999999,0,.00000,.00000
2025-11-18,HC1DBSQ23PV,ASYNC_NETWORK_IO,26.91000,25.98000,.92000,3221.00000,3.3799999999999999,8.3999999999999995E-3,.00810,.00030
2025-11-18,HC1DBSQ23PV,MEMORY_ALLOCATION_EXT,11.70000,11.70000,.00000,8818164.00000,1.47,0,.00000,.00000
2025-11-18,HC1DBSQ23PV,PAGEIOLATCH_EX,7.89000,7.51000,.38000,13645.00000,0.98999999999999999,5.9999999999999995E-4,.00060,.00000
2025-11-18,HC1DBSQ23QV,SOS_WORK_DISPATCHER,134612.23000,134578.92000,33.31000,198893.00000,99.909999999999997,0.67679999999999996,.67660,.00020
2025-11-18,HC1DBSQ23UV,WRITELOG,90.72000,84.41000,6.32000,77061.00000,69.810000000000002,1.1999999999999999E-3,.00110,.00010
2025-11-18,HC1DBSQ23UV,ASYNC_NETWORK_IO,14.77000,14.73000,.04000,2413.00000,11.359999999999999,6.1000000000000004E-3,.00610,.00000
2025-11-18,HC1DBSQ23UV,SOS_SCHEDULER_YIELD,4.26000,.05000,4.21000,33226.00000,3.2799999999999998,0.0001,.00000,.00010
2025-11-18,HC1DBSQ23UV,MEMORY_ALLOCATION_EXT,2.88000,2.88000,.00000,3097167.00000,2.2200000000000002,0,.00000,.00000
2025-11-18,HC1DBSQ23UV,PREEMPTIVE_OS_AUTHENTICATIONOPS,2.36000,2.36000,.00000,3035.00000,1.8100000000000001,8.0000000000000004E-4,.00080,.00000
2025-11-18,HC1DBSQ23UV,PAGEIOLATCH_EX,2.30000,2.27000,.04000,5400.00000,1.77,4.0000000000000002E-4,.00040,.00000
2025-11-18,HC1DBSQ23UV,PAGEIOLATCH_SH,1.46000,1.43000,.03000,1758.00000,1.1200000000000001,8.0000000000000004E-4,.00080,.00000
2025-11-18,HC1DBSQ23UV,RESERVED_MEMORY_ALLOCATION_EXT,1.40000,1.40000,.00000,2762588.00000,1.0800000000000001,0,.00000,.00000
2025-11-18,HC1DBSQ23UV,PAGELATCH_EX,1.35000,.12000,1.23000,19464.00000,1.04,0.0001,.00000,.00010
2025-11-18,HC1DBSQ23UV,LCK_M_U,1.25000,1.09000,.16000,67.00000,0.95999999999999996,1.8599999999999998E-2,.01620,.00240
2025-11-18,HC1DBSQ23UV,PREEMPTIVE_XE_GETTARGETSTATE,1.04000,1.04000,.00000,1370.00000,0.80000000000000004,8.0000000000000004E-4,.00080,.00000
2025-11-18,HC1DBSQ25PV,SOS_WORK_DISPATCHER,71817240.36000,71815221.23000,2019.14000,8887509.00000,99.879999999999995,8.0807000000000002,8.08050,.00020
2025-11-18,HC1DBSQ27PV,BACKUPIO,3791.83000,3791.10000,.73000,45573.00000,41.960000000000001,8.3199999999999996E-2,.08320,.00000
2025-11-18,HC1DBSQ27PV,BACKUPTHREAD,3751.63000,3751.39000,.24000,5326.00000,41.509999999999998,0.70440000000000003,.70440,.00000
2025-11-18,LX1APDS01PV,SOS_WORK_DISPATCHER,70440243.46000,70437675.80000,2567.66000,13113542.00000,97.819999999999993,5.3715999999999999,5.37140,.00020
2025-11-18,WEUNPINVSTDBS01\NI2,CXPACKET,9692970.36000,9429057.34000,263913.02000,4414405325.00000,96.349999999999994,2.2000000000000001E-3,.00210,.00010
2025-11-18,WEUNPSOLUNSDW02,CXCONSUMER,3061978.06000,3038923.18000,23054.88000,125955702.00000,30.940000000000001,2.4299999999999999E-2,.02410,.00020
2025-11-18,WEUNPSOLUNSDW02,PAGEIOLATCH_SH,2662023.22000,2647086.46000,14936.76000,375197875.00000,26.899999999999999,7.1000000000000004E-3,.00710,.00000
2025-11-18,WEUNPSOLUNSDW02,CXPACKET,2559222.78000,2543463.66000,15759.13000,128865915.00000,25.859999999999999,1.9900000000000001E-2,.01970,.00010
2025-11-18,WEUNPSOLUNSDW02,OLEDB,979843.84000,979843.84000,.00000,1561883169.00000,9.9000000000000004,5.9999999999999995E-4,.00060,.00000
2025-11-18,WEUNPSOLUNSDW02,WRITELOG,142350.04000,138218.21000,4131.83000,132239008.00000,1.4399999999999999,1.1000000000000001E-3,.00100,.00000
2025-11-18,WEUPRINVSTDBS01,SOS_WORK_DISPATCHER,13535739.60000,13535287.07000,452.53000,5956743.00000,97.480000000000004,2.2723,2.27230,.00010
2025-11-18,AWSDBSQ42PV,SOS_WORK_DISPATCHER,85133902.33000,85132712.98000,1189.36000,38464326.00000,99.560000000000002,2.2132999999999998,2.21330,.00000
2025-11-18,HC1DBSQ52QV,SOS_WORK_DISPATCHER,15799821.43000,15799079.47000,741.96000,18468223.00000,98.340000000000003,0.85550000000000004,.85550,.00000
2025-11-18,HC1DBSQ58QV,SOS_WORK_DISPATCHER,14313659.51000,14313385.09000,274.42000,1852465.00000,97.799999999999997,7.7267999999999999,7.72670,.00010
2025-11-18,AWSDBSQ31DV,SOS_WORK_DISPATCHER,19524080.74000,19522543.35000,1537.39000,6018510.00000,97.700000000000003,3.2440000000000002,3.24380,.00030
2025-11-18,AWSDBSQ31PV,SOS_WORK_DISPATCHER,228771322.95000,228751948.37000,19374.59000,66678214.00000,93.180000000000007,3.431,3.43070,.00030
2025-11-18,AWSDBSQ31PV,CXCONSUMER,2683101.85000,2474985.79000,208116.06000,1942440598.00000,1.0900000000000001,0.0014,.00130,.00010
2025-11-18,HC1DBSQ39DV,SOS_WORK_DISPATCHER,13444015.59000,13443971.66000,43.93000,1057526.00000,98.599999999999994,12.7127,12.71270,.00000
2025-11-18,HC1DBSQ60PV,SOS_WORK_DISPATCHER,121625005.49000,121614421.64000,10583.85000,67749027.00000,98.409999999999997,1.7951999999999999,1.79510,.00020
2025-11-18,HC1DBSQ60QV,SOS_WORK_DISPATCHER,15605289.47000,15603996.01000,1293.46000,14015753.00000,99.379999999999995,1.1133999999999999,1.11330,.00010
2025-11-18,HC1DBSQ60UV,SOS_WORK_DISPATCHER,12518503.48000,12518306.39000,197.09000,1056421.00000,98.849999999999994,11.8499,11.84970,.00020
2025-11-18,HC1DBSQ61DV,SOS_WORK_DISPATCHER,26309470.33000,26309321.72000,148.62000,4030482.00000,99.760000000000005,6.5275999999999996,6.52760,.00000
2025-11-18,HC1DBSQ62PV,PREEMPTIVE_XE_GETTARGETSTATE,17278.99000,17278.99000,.00000,125242.00000,30.440000000000001,0.13800000000000001,.13800,.00000
2025-11-18,HC1DBSQ62PV,BACKUPIO,10282.65000,10278.63000,4.03000,590892.00000,18.109999999999999,1.7399999999999999E-2,.01740,.00000
2025-11-18,HC1DBSQ62PV,BACKUPTHREAD,8302.30000,8301.93000,.37000,11152.00000,14.619999999999999,0.74450000000000005,.74440,.00000
2025-11-18,HC1DBSQ62PV,WRITELOG,5223.09000,5065.27000,157.82000,4132947.00000,9.1999999999999993,1.2999999999999999E-3,.00120,.00000
2025-11-18,HC1DBSQ62PV,XE_FILE_TARGET_TVF,4987.54000,4987.54000,.00000,7140690.00000,8.7899999999999991,6.9999999999999999E-4,.00070,.00000
2025-11-18,HC1DBSQ62PV,BACKUPBUFFER,1914.94000,1879.13000,35.81000,994627.00000,3.3700000000000001,0.0019,.00190,.00000
2025-11-18,HC1DBSQ62PV,ASYNC_IO_COMPLETION,1789.42000,1789.39000,.03000,340.00000,3.1499999999999999,5.2629999999999999,5.26290,.00010
2025-11-18,HC1DBSQ62PV,ASYNC_NETWORK_IO,1390.17000,1376.16000,14.01000,924447.00000,2.4500000000000002,0.0015,.00150,.00000
2025-11-18,HC1DBSQ62PV,PREEMPTIVE_OS_CREATEFILE,1050.68000,1050.68000,.00000,1607072.00000,1.8500000000000001,6.9999999999999999E-4,.00070,.00000
2025-11-18,HC1DBSQ62PV,LCK_M_U,829.73000,822.50000,7.24000,108235.00000,1.46,7.7000000000000002E-3,.00760,.00010
2025-11-18,HC1DBSQ62PV,PREEMPTIVE_OS_AUTHENTICATIONOPS,610.56000,610.56000,.00000,1010244.00000,1.0800000000000001,5.9999999999999995E-4,.00060,.00000
2025-11-18,HC1DBSQ62PV,CXPACKET,504.29000,442.41000,61.89000,1044585.00000,0.89000000000000001,5.0000000000000001E-4,.00040,.00010
2025-11-18,HC1DBSQ70DV,SOS_WORK_DISPATCHER,10700455.77000,10700268.65000,187.12000,974734.00000,99.989999999999995,10.9778,10.97760,.00020
2025-11-18,HC1DBSQ70PV,SOS_WORK_DISPATCHER,87289607.64000,87281723.15000,7884.49000,129587890.00000,97.109999999999999,0.67359999999999998,.67350,.00010
2025-11-18,HC1DBSQ70QV,SOS_WORK_DISPATCHER,10876431.57000,10876168.31000,263.25000,4774020.00000,97.959999999999994,2.2783000000000002,2.27820,.00010
2025-11-18,HC1DBSQ70UV,SOS_WORK_DISPATCHER,10875364.69000,10875270.67000,94.02000,1078772.00000,99.989999999999995,10.081200000000001,10.08120,.00010
2025-11-18,HC1DBSQ90DV,SOS_WORK_DISPATCHER,10611181.87000,10610612.51000,569.36000,1633401.00000,99.969999999999999,6.4964000000000004,6.49600,.00030
2025-11-18,HC1DBSQ90PV,SOS_WORK_DISPATCHER,106252015.16000,106234207.10000,17808.06000,151696386.00000,92.010000000000005,0.70040000000000002,.70030,.00010
2025-11-18,HC1DBSQ90PV,PAGEIOLATCH_SH,3619499.86000,3597162.39000,22337.47000,341729984.00000,3.1299999999999999,0.0106,.01050,.00010
2025-11-18,HC1DBSQ91DV,SOS_WORK_DISPATCHER,11723479.82000,11723168.70000,311.12000,2458398.00000,99.400000000000006,4.7686999999999999,4.76860,.00010
2025-11-18,HC1DBSQ92DV,SOS_WORK_DISPATCHER,10281274.76000,10280891.84000,382.92000,987580.00000,100,10.410600000000001,10.41020,.00040
2025-11-18,LD5AIDBSQ01PV,SOS_WORK_DISPATCHER,252189719.84000,252158478.89000,31240.96000,105246773.00000,96.359999999999999,2.3961999999999999,2.39590,.00030
2025-11-18,LD5AIDBSQ01QV,SOS_WORK_DISPATCHER,132618735.28000,132613891.96000,4843.32000,19010238.00000,99.840000000000003,6.9762000000000004,6.97590,.00030
2025-11-18,HC1DBSQ55QV,WRITELOG,15997.21000,15503.37000,493.84000,10167879.00000,1.52,1.6000000000000001E-3,.00150,.00000
2025-11-18,HC1DBSQ55UV,CXPACKET,524116.93000,500629.44000,23487.49000,62820359.00000,45.57,8.3000000000000001E-3,.00800,.00040
2025-11-18,HC1DBSQ55UV,CXCONSUMER,287018.07000,269042.80000,17975.28000,42992666.00000,24.960000000000001,6.7000000000000002E-3,.00630,.00040
2025-11-18,HC1DBSQ55UV,QDS_ASYNC_QUEUE,241369.64000,241369.63000,.01000,13.00000,20.989999999999998,18566.895100000002,18566.89450,.00060
2025-11-18,HC1DBSQ55UV,PAGEIOLATCH_SH,30394.75000,28936.87000,1457.88000,23426116.00000,2.6400000000000001,1.2999999999999999E-3,.00120,.00010
2025-11-18,HC1DBSQ55UV,BACKUPBUFFER,16684.99000,14623.20000,2061.79000,9245827.00000,1.45,0.0018,.00160,.00020
2025-11-18,HC1DBSQ57DV,SOS_WORK_DISPATCHER,11187611.28000,11187566.42000,44.87000,950646.00000,99.989999999999995,11.7684,11.76840,.00000
2025-11-18,HC1DBSQ57PV,SOS_WORK_DISPATCHER,94144878.54000,94144491.10000,387.44000,8177378.00000,99.980000000000004,11.5128,11.51280,.00000
2025-11-18,HC1DBSQ59QV,SOS_WORK_DISPATCHER,12981368.18000,12981238.73000,129.45000,1054091.00000,99.969999999999999,12.315200000000001,12.31510,.00010
2025-11-18,HC1DBSQ46PV,SOS_WORK_DISPATCHER,361090470.24000,360972420.94000,118049.30000,1617014911.00000,96.040000000000006,0.2233,.22320,.00010
2025-11-18,HC1DBSQ94PV,SOS_WORK_DISPATCHER,175605598.08000,175603545.58000,2052.50000,27499456.00000,98.489999999999995,6.3857999999999997,6.38570,.00010
2025-11-18,HC1DBSQ28PV,SOS_WORK_DISPATCHER,61329804.64000,61289233.28000,40571.36000,115709515.00000,96.459999999999994,0.53000000000000003,.52970,.00040
2025-11-18,HC1DBSQ67PV,SOS_WORK_DISPATCHER,42062873.66000,42062470.16000,403.50000,3684487.00000,98.150000000000006,11.4162,11.41610,.00010
2025-11-18,HC1DBSQ32PV,SOS_WORK_DISPATCHER,118616576.69000,118616147.26000,429.44000,10114185.00000,98.469999999999999,11.7277,11.72770,.00000
2025-11-18,HC1DBSQ32QV,SOS_WORK_DISPATCHER,14366994.76000,14366944.47000,50.29000,1455077.00000,100,9.8736999999999995,9.87370,.00000
2025-11-18,HC1DBSQ57QV,SOS_WORK_DISPATCHER,10691920.50000,10691883.72000,36.78000,978174.00000,99.989999999999995,10.9305,10.93050,.00000
2025-11-18,HC1DBSQ57UV,SOS_WORK_DISPATCHER,11986044.00000,11986002.73000,41.27000,976657.00000,99.989999999999995,12.272500000000001,12.27250,.00000
